id_aluno;idade;plano;visitas_mes;satisfacao;gasto_extra_mensal;engajamento
3849;59;Trimestral;1;5;128.93;Baixo
2119;39;Trimestral;4;1;88.85;Baixo
4709;32;Mensal;25;1;104.2;Alto
2141;25;Trimestral;5;1;54.7;Baixo
1559;45;Mensal;1;3;110.78;Baixo
4672;61;Trimestral;15;3;99.99;Médio
1487;38;Trimestral;5;2;17.93;Baixo
4308;47;Trimestral;13;2;85.9;Médio
4956;32;Mensal;8;1;38.51;Baixo
1896;32;Mensal;8;5;120.61;Baixo
4343;29;Trimestral;5;2;63.89;Baixo
2212;24;Mensal;9;2;149.2;Baixo
1703;55;Mensal;1;3;13.88;Baixo
2470;17;Mensal;4;5;117.05;Baixo
1580;60;Anual;3;1;101.06;Baixo
3837;40;Trimestral;2;2;115.12;Baixo
3908;54;Mensal;8;5;46.13;Baixo
3294;24;Mensal;23;5;73.81;Alto
4147;37;Mensal;9;1;119.48;Baixo
1153;58;Trimestral;2;5;34.88;Baixo
2679;61;Trimestral;14;5;33.9;Médio
4506;19;Mensal;14;5;82.66;Médio
1996;41;Mensal;4;2;78.53;Baixo
4157;44;Mensal;6;1;42.34;Baixo
3744;60;Trimestral;11;5;44.71;Médio
4356;49;Trimestral;3;5;41.68;Baixo
2243;38;Mensal;8;2;115.73;Baixo
2092;52;Mensal;3;1;97.79;Baixo
4118;26;Mensal;14;3;124.86;Médio
2008;21;Anual;13;2;146.32;Médio
3141;33;Mensal;13;1;71.12;Médio
2773;36;Trimestral;2;5;10.0;Baixo
1957;57;Trimestral;13;1;7.21;Médio
4059;51;Mensal;19;1;44.35;Médio
1452;56;Mensal;27;1;139.88;Alto
2227;53;Mensal;6;3;78.48;Baixo
3959;49;Trimestral;16;1;40.77;Médio
3265;32;Trimestral;2;3;59.88;Baixo
3521;52;Trimestral;8;5;89.79;Baixo
3479;40;Trimestral;17;3;97.94;Médio
3388;53;Mensal;23;5;23.09;Alto
1550;27;Anual;2;5;146.55;Baixo
2635;38;Trimestral;10;3;81.72;Médio
2312;57;Mensal;16;2;20.35;Médio
4325;37;Anual;6;4;134.05;Baixo
2757;36;Trimestral;2;1;11.2;Baixo
1356;42;Trimestral;2;4;136.16;Baixo
3070;46;Trimestral;26;1;149.48;Alto
2785;21;Anual;13;1;105.06;Médio
3569;42;Trimestral;24;5;115.57;Alto
2781;55;Mensal;15;1;50.6;Médio
4908;49;Mensal;2;1;141.24;Baixo
4171;27;Anual;7;3;79.46;Baixo
3849;60;Mensal;3;4;109.86;Baixo
4251;22;Mensal;8;3;138.62;Baixo
4294;25;Mensal;23;1;146.28;Alto
4977;60;Mensal;14;5;124.98;Médio
3809;32;Trimestral;24;3;45.45;Alto
4730;41;Anual;23;3;144.98;Alto
3489;36;Mensal;27;2;94.22;Alto
2631;43;Mensal;22;1;139.6;Alto
3816;61;Mensal;7;5;101.42;Baixo
2015;17;Anual;21;3;46.09;Alto
2348;58;Trimestral;7;3;55.5;Baixo
1515;16;Mensal;1;5;82.57;Baixo
4087;51;Anual;17;1;118.5;Médio
3839;41;Anual;9;2;47.7;Baixo
1335;44;Anual;21;3;86.96;Alto
2782;36;Anual;13;2;51.84;Médio
3305;26;Mensal;21;4;122.37;Alto
1496;55;Trimestral;19;1;70.01;Médio
1895;26;Mensal;21;4;11.51;Alto
3207;51;Anual;19;4;24.91;Médio
4546;64;Trimestral;25;4;9.17;Alto
1851;54;Trimestral;25;1;74.9;Alto
2687;55;Trimestral;22;1;15.95;Alto
2931;50;Mensal;17;5;17.12;Médio
3737;49;Trimestral;23;2;141.16;Alto
4746;62;Anual;23;2;130.9;Alto
3427;39;Anual;10;5;67.81;Médio
2568;37;Mensal;10;5;147.87;Médio
1956;20;Mensal;4;4;0.03;Baixo
3738;48;Mensal;8;5;92.1;Baixo
4498;51;Trimestral;22;3;92.46;Alto
2636;62;Anual;20;2;68.62;Alto
2291;35;Mensal;20;5;59.54;Alto
4906;34;Trimestral;18;3;68.31;Médio
4648;50;Anual;14;3;62.24;Médio
2440;58;Trimestral;18;3;109.57;Médio
2191;32;Trimestral;14;3;20.3;Médio
4913;60;Trimestral;20;4;29.65;Alto
2066;58;Trimestral;21;3;27.08;Alto
4627;49;Mensal;24;4;39.37;Alto
1284;24;Trimestral;15;4;78.79;Médio
3444;41;Trimestral;22;3;16.68;Alto
1011;17;Anual;4;2;130.23;Baixo
2630;24;Trimestral;13;3;44.6;Médio
4373;24;Trimestral;27;3;24.38;Alto
4969;55;Mensal;23;3;101.34;Alto
4324;32;Mensal;8;2;5.71;Baixo
3546;16;Mensal;18;1;93.0;Médio
1753;40;Mensal;12;1;104.73;Médio
3082;58;Trimestral;23;4;32.24;Alto
3774;55;Anual;14;4;6.29;Médio
3896;57;Mensal;2;2;54.55;Baixo
1089;40;Mensal;18;5;14.79;Médio
1775;54;Anual;24;1;17.47;Alto
3652;50;Mensal;2;4;38.14;Baixo
4993;18;Trimestral;11;1;44.32;Médio
4017;52;Trimestral;9;2;79.5;Baixo
2625;59;Trimestral;12;2;101.76;Médio
4069;59;Mensal;17;5;88.92;Médio
1417;45;Mensal;15;5;22.25;Médio
1114;53;Trimestral;25;2;25.81;Alto
1616;49;Trimestral;17;4;131.82;Médio
4974;27;Mensal;26;1;83.75;Alto
4267;34;Trimestral;26;3;130.49;Alto
1825;52;Mensal;18;5;55.73;Médio
4572;59;Trimestral;22;3;92.16;Alto
2649;64;Mensal;6;4;78.55;Baixo
2516;32;Anual;17;5;47.87;Médio
4146;25;Mensal;23;3;70.49;Alto
1412;64;Mensal;24;4;75.37;Alto
4447;62;Mensal;18;1;30.12;Médio
4491;27;Mensal;8;4;47.25;Baixo
1728;31;Anual;9;5;118.71;Baixo
4348;39;Anual;6;2;137.37;Baixo
4068;34;Mensal;5;1;53.97;Baixo
3808;23;Mensal;12;3;46.05;Médio
1675;46;Trimestral;25;5;29.28;Alto
4465;36;Anual;11;2;101.77;Médio
2892;32;Trimestral;25;4;48.46;Alto
3504;38;Mensal;1;2;148.16;Baixo
3967;52;Mensal;11;5;48.85;Médio
3239;31;Trimestral;19;5;59.12;Médio
3786;21;Mensal;9;2;90.5;Baixo
4760;23;Trimestral;27;4;120.25;Alto
2122;40;Mensal;2;2;70.43;Baixo
2571;33;Trimestral;12;5;63.4;Médio
1977;40;Mensal;4;5;149.35;Baixo
2008;27;Trimestral;4;3;1.57;Baixo
3143;30;Mensal;18;3;134.26;Médio
2687;41;Trimestral;15;1;22.37;Médio
3710;56;Mensal;19;5;117.89;Médio
4261;60;Trimestral;13;3;92.69;Médio
4807;41;Trimestral;19;2;51.28;Médio
1036;62;Trimestral;17;4;131.08;Médio
4851;47;Trimestral;6;2;1.94;Baixo
4440;25;Trimestral;16;4;34.0;Médio
4766;31;Anual;24;3;85.03;Alto
2548;22;Mensal;12;1;52.73;Médio
3326;32;Anual;19;2;91.56;Médio
3264;38;Mensal;5;2;3.62;Baixo
3914;41;Mensal;17;2;17.47;Médio
1872;36;Mensal;26;4;19.06;Alto
2821;37;Mensal;23;3;28.39;Alto
2296;22;Trimestral;26;2;68.9;Alto
4952;29;Trimestral;1;2;112.82;Baixo
3109;30;Trimestral;27;1;135.83;Alto
1595;22;Trimestral;25;1;125.31;Alto
2903;24;Mensal;24;3;29.53;Alto
1728;63;Mensal;23;3;66.17;Alto
2365;23;Mensal;10;5;29.91;Médio
1396;38;Mensal;15;1;39.67;Médio
1698;44;Mensal;23;5;75.53;Alto
4090;33;Mensal;21;4;10.22;Alto
3224;46;Trimestral;21;5;32.73;Alto
2635;45;Trimestral;11;2;140.31;Médio
1395;54;Anual;13;5;69.92;Médio
3492;50;Anual;5;3;66.81;Baixo
4304;33;Trimestral;1;4;2.19;Baixo
4986;57;Mensal;24;2;37.11;Alto
1075;54;Trimestral;12;5;129.94;Médio
1264;32;Trimestral;11;4;24.69;Médio
3502;29;Mensal;17;4;62.27;Médio
2819;46;Mensal;4;2;2.15;Baixo
1717;39;Anual;15;5;71.75;Médio
3782;50;Mensal;25;4;3.15;Alto
4455;59;Trimestral;9;4;122.94;Baixo
4635;60;Trimestral;21;1;123.73;Alto
1850;49;Mensal;20;4;118.16;Alto
4577;18;Mensal;19;1;42.5;Médio
2390;52;Mensal;19;5;125.59;Médio
1143;58;Mensal;12;5;81.45;Médio
1884;55;Mensal;5;5;56.07;Baixo
4140;41;Anual;10;3;93.8;Médio
4170;38;Mensal;17;5;1.85;Médio
1395;59;Trimestral;5;4;21.44;Baixo
4096;54;Mensal;22;2;111.34;Alto
3995;30;Anual;16;1;36.62;Médio
3938;64;Mensal;7;3;89.7;Baixo
2492;19;Mensal;9;5;57.77;Baixo
4555;44;Anual;3;5;128.22;Baixo
4636;37;Anual;15;2;142.86;Médio
4222;40;Mensal;16;2;132.53;Médio
2167;28;Anual;18;3;40.59;Médio
3616;33;Mensal;14;1;29.12;Médio
2062;48;Mensal;3;5;71.17;Baixo
3156;31;Mensal;12;3;1.1;Médio
4764;60;Mensal;9;4;3.87;Baixo
2065;57;Trimestral;7;4;82.99;Baixo
2209;59;Mensal;9;3;78.07;Baixo
3982;17;Mensal;13;5;149.19;Médio
3445;50;Trimestral;18;3;30.28;Médio
4294;57;Trimestral;5;5;38.72;Baixo
1633;49;Mensal;13;2;17.03;Médio
2156;45;Trimestral;4;3;137.63;Baixo
4234;28;Mensal;2;5;116.67;Baixo
2238;28;Trimestral;16;3;123.35;Médio
1732;33;Trimestral;9;3;135.41;Baixo
1234;47;Anual;9;5;78.73;Baixo
4914;47;Mensal;6;5;67.68;Baixo
3705;50;Mensal;11;1;49.56;Médio
1750;54;Mensal;22;3;88.38;Alto
3635;61;Mensal;24;4;68.14;Alto
4080;44;Mensal;22;3;67.73;Alto
4145;64;Anual;1;3;140.54;Baixo
1953;44;Mensal;4;5;147.6;Baixo
3539;59;Mensal;13;3;119.47;Médio
3960;31;Trimestral;23;3;113.51;Alto
4324;59;Mensal;13;4;102.08;Médio
4301;62;Trimestral;13;5;24.91;Médio
2542;25;Mensal;2;3;8.87;Baixo
2197;45;Mensal;9;2;103.61;Baixo
2676;40;Mensal;24;1;109.32;Alto
2191;54;Mensal;8;4;7.05;Baixo
3217;35;Anual;7;3;139.21;Baixo
2416;20;Mensal;4;2;13.67;Baixo
3993;16;Trimestral;18;3;42.89;Médio
3842;45;Mensal;3;3;100.86;Baixo
3681;64;Mensal;6;5;25.48;Baixo
2217;18;Anual;12;5;8.31;Médio
2540;60;Mensal;12;5;49.67;Médio
3076;29;Trimestral;21;2;114.9;Alto
4236;45;Anual;8;3;62.05;Baixo
2445;19;Trimestral;22;1;97.95;Alto
3386;33;Anual;22;4;86.94;Alto
4719;52;Mensal;1;5;3.33;Baixo
2519;40;Mensal;4;5;148.28;Baixo
2388;63;Mensal;21;3;6.21;Alto
2856;16;Trimestral;11;3;145.17;Médio
2365;61;Anual;3;2;82.48;Baixo
1499;30;Mensal;13;2;144.47;Médio
2680;24;Trimestral;25;5;17.21;Alto
1510;30;Mensal;17;3;73.56;Médio
4398;64;Trimestral;22;1;25.43;Alto
1216;39;Mensal;22;4;7.65;Alto
2324;19;Anual;10;3;92.63;Médio
2155;27;Trimestral;21;3;31.17;Alto
2827;52;Mensal;12;2;88.15;Médio
4141;52;Mensal;15;4;16.85;Médio
4323;58;Mensal;21;5;49.8;Alto
4486;21;Mensal;10;3;117.24;Médio
2810;54;Mensal;14;5;65.56;Médio
3492;61;Anual;13;3;94.16;Médio
3923;39;Trimestral;5;5;97.12;Baixo
2205;26;Trimestral;6;4;126.56;Baixo
3214;28;Mensal;24;2;48.74;Alto
1090;49;Anual;2;4;103.09;Baixo
1713;40;Trimestral;22;1;144.24;Alto
2881;22;Mensal;17;2;109.54;Médio
4602;19;Trimestral;4;4;73.48;Baixo
1038;23;Trimestral;14;1;94.61;Médio
4197;35;Mensal;10;3;110.95;Médio
4522;44;Mensal;3;3;91.84;Baixo
1172;60;Mensal;25;5;2.5;Alto
1652;61;Mensal;3;2;29.22;Baixo
1753;25;Anual;15;3;121.57;Médio
2243;58;Anual;6;2;40.9;Baixo
4709;49;Trimestral;17;3;109.73;Médio
2081;41;Mensal;12;5;55.82;Médio
2683;56;Mensal;22;4;78.28;Alto
3523;64;Trimestral;20;5;10.2;Alto
1455;18;Trimestral;24;1;27.18;Alto
1828;21;Mensal;11;3;143.58;Médio
1894;20;Trimestral;25;1;133.52;Alto
2384;20;Anual;4;1;97.84;Baixo
2958;62;Mensal;26;2;68.95;Alto
4072;38;Mensal;26;3;101.36;Alto
3434;64;Trimestral;6;1;92.79;Baixo
2996;24;Mensal;1;4;85.28;Baixo
3395;50;Mensal;20;1;8.88;Alto
1189;35;Mensal;23;4;94.92;Alto
1504;64;Mensal;16;2;115.34;Médio
2214;57;Trimestral;15;1;149.11;Médio
2531;50;Trimestral;17;5;1.66;Médio
4440;33;Mensal;8;2;109.53;Baixo
4480;32;Anual;26;4;85.77;Alto
1823;39;Anual;12;2;65.11;Médio
1928;18;Anual;27;1;19.14;Alto
1933;47;Mensal;22;3;61.36;Alto
2140;50;Mensal;21;3;53.16;Alto
1133;53;Anual;10;4;45.42;Médio
3105;28;Trimestral;27;4;109.63;Alto
4627;62;Mensal;15;3;105.11;Médio
1684;40;Mensal;9;4;88.35;Baixo
3719;24;Mensal;2;2;140.8;Baixo
3220;19;Anual;5;5;52.48;Baixo
2852;29;Trimestral;6;5;36.57;Baixo
1814;52;Mensal;7;2;98.39;Baixo
2172;49;Mensal;21;5;29.82;Alto
1079;26;Trimestral;25;1;47.25;Alto
3933;56;Anual;1;2;33.69;Baixo
4284;18;Mensal;23;4;10.37;Alto
1202;43;Trimestral;26;2;124.12;Alto
3811;44;Anual;7;3;38.18;Baixo
2252;24;Mensal;20;4;70.95;Alto
2699;18;Trimestral;25;3;6.5;Alto
2250;40;Mensal;12;4;104.9;Médio
2682;49;Trimestral;16;5;49.58;Médio
2555;27;Trimestral;16;2;111.71;Médio
4512;57;Trimestral;11;1;61.86;Médio
4473;24;Trimestral;21;4;29.36;Alto
3094;30;Mensal;4;4;76.98;Baixo
2256;55;Anual;13;3;19.58;Médio
4376;40;Trimestral;7;5;66.08;Baixo
2549;20;Mensal;4;3;47.6;Baixo
2166;26;Trimestral;15;3;136.79;Médio
4486;49;Trimestral;19;5;9.14;Médio
4584;39;Mensal;9;1;104.1;Baixo
2396;30;Anual;11;3;27.41;Médio
4637;53;Anual;8;3;47.86;Baixo
4957;23;Mensal;1;4;62.33;Baixo
4330;20;Anual;23;5;136.2;Alto
3703;63;Mensal;25;2;36.39;Alto
1470;41;Mensal;24;1;13.7;Alto
4018;33;Mensal;8;1;47.8;Baixo
2035;21;Anual;13;5;15.7;Médio
2353;52;Trimestral;22;4;19.29;Alto
3783;63;Mensal;27;4;86.08;Alto
3831;28;Mensal;4;5;9.14;Baixo
1967;43;Trimestral;8;4;4.64;Baixo
1357;20;Mensal;3;1;107.16;Baixo
4019;28;Anual;9;1;54.25;Baixo
4479;32;Anual;2;2;18.81;Baixo
1667;55;Trimestral;2;5;38.04;Baixo
1372;60;Anual;13;3;96.31;Médio
2031;47;Mensal;15;3;41.33;Médio
2145;44;Anual;23;2;74.18;Alto
2371;18;Trimestral;12;2;18.25;Médio
3723;55;Trimestral;26;4;88.21;Alto
1089;49;Mensal;4;2;47.41;Baixo
4719;55;Anual;26;2;94.05;Alto
3745;42;Mensal;8;3;121.26;Baixo
4387;28;Mensal;9;4;91.75;Baixo
4249;60;Mensal;23;2;44.36;Alto
1539;48;Trimestral;5;2;38.36;Baixo
3779;21;Trimestral;24;4;49.11;Alto
1868;39;Trimestral;20;5;24.69;Alto
1040;34;Anual;18;4;27.18;Médio
1739;31;Mensal;11;3;118.6;Médio
4775;55;Trimestral;15;5;57.71;Médio
2946;43;Mensal;22;1;65.4;Alto
3549;48;Anual;9;4;89.11;Baixo
4006;63;Anual;17;3;88.45;Médio
4216;56;Trimestral;27;5;10.11;Alto
2224;28;Trimestral;26;4;124.73;Alto
1928;58;Mensal;12;2;26.6;Médio
3036;60;Mensal;7;4;108.46;Baixo
4795;40;Anual;10;1;115.9;Médio
3508;57;Mensal;25;4;107.23;Alto
3779;51;Mensal;26;5;86.85;Alto
3799;42;Mensal;25;5;2.19;Alto
1924;53;Anual;10;4;54.06;Médio
3956;22;Mensal;27;5;90.73;Alto
2581;20;Mensal;13;2;58.12;Médio
4618;58;Trimestral;19;4;129.52;Médio
4324;60;Anual;11;2;46.32;Médio
1389;46;Mensal;13;2;44.03;Médio
2617;38;Mensal;21;3;39.9;Alto
3930;57;Mensal;8;4;49.92;Baixo
1255;25;Mensal;8;5;83.61;Baixo
1708;47;Mensal;4;2;106.05;Baixo
2838;58;Trimestral;15;3;99.39;Médio
2944;45;Trimestral;11;4;121.16;Médio
3497;54;Trimestral;11;4;132.89;Médio
1009;46;Mensal;1;1;122.41;Baixo
3871;33;Anual;17;1;2.84;Médio
1797;51;Mensal;15;2;110.39;Médio
4313;17;Anual;20;1;31.26;Alto
