id_aluno;idade;plano;visitas_mes;satisfacao;gasto_extra_mensal
4440;25;Trimestral;16;4;34.0
4766;31;Anual;24;3;85.03
2548;22;Mensal;12;1;52.73
3326;32;Anual;19;2;91.56
3264;38;Mensal;5;2;3.62
3914;41;Mensal;17;2;17.47
1872;36;Mensal;26;4;19.06
2821;37;Mensal;23;3;28.39
2296;22;Trimestral;26;2;68.9
4952;29;Trimestral;1;2;112.82
3109;30;Trimestral;27;1;135.83
1595;22;Trimestral;25;1;125.31
2903;24;Mensal;24;3;29.53
1728;63;Mensal;23;3;66.17
2365;23;Mensal;10;5;29.91
1396;38;Mensal;15;1;39.67
1698;44;Mensal;23;5;75.53
4090;33;Mensal;21;4;10.22
3224;46;Trimestral;21;5;32.73
2635;45;Trimestral;11;2;140.31
1395;54;Anual;13;5;69.92
3492;50;Anual;5;3;66.81
4304;33;Trimestral;1;4;2.19
4986;57;Mensal;24;2;37.11
1075;54;Trimestral;12;5;129.94
1264;32;Trimestral;11;4;24.69
3502;29;Mensal;17;4;62.27
2819;46;Mensal;4;2;2.15
1717;39;Anual;15;5;71.75
3782;50;Mensal;25;4;3.15
4455;59;Trimestral;9;4;122.94
4635;60;Trimestral;21;1;123.73
1850;49;Mensal;20;4;118.16
4577;18;Mensal;19;1;42.5
2390;52;Mensal;19;5;125.59
1143;58;Mensal;12;5;81.45
1884;55;Mensal;5;5;56.07
4140;41;Anual;10;3;93.8
4170;38;Mensal;17;5;1.85
1395;59;Trimestral;5;4;21.44
4096;54;Mensal;22;2;111.34
3995;30;Anual;16;1;36.62
3938;64;Mensal;7;3;89.7
2492;19;Mensal;9;5;57.77
4555;44;Anual;3;5;128.22
4636;37;Anual;15;2;142.86
4222;40;Mensal;16;2;132.53
2167;28;Anual;18;3;40.59
3616;33;Mensal;14;1;29.12
2062;48;Mensal;3;5;71.17
3156;31;Mensal;12;3;1.1
4764;60;Mensal;9;4;3.87
2065;57;Trimestral;7;4;82.99
2209;59;Mensal;9;3;78.07
3982;17;Mensal;13;5;149.19
3445;50;Trimestral;18;3;30.28
4294;57;Trimestral;5;5;38.72
1633;49;Mensal;13;2;17.03
2156;45;Trimestral;4;3;137.63
4234;28;Mensal;2;5;116.67
2238;28;Trimestral;16;3;123.35
1732;33;Trimestral;9;3;135.41
1234;47;Anual;9;5;78.73
4914;47;Mensal;6;5;67.68
3705;50;Mensal;11;1;49.56
1750;54;Mensal;22;3;88.38
3635;61;Mensal;24;4;68.14
4080;44;Mensal;22;3;67.73
4145;64;Anual;1;3;140.54
1953;44;Mensal;4;5;147.6
3539;59;Mensal;13;3;119.47
3960;31;Trimestral;23;3;113.51
4324;59;Mensal;13;4;102.08
4301;62;Trimestral;13;5;24.91
2542;25;Mensal;2;3;8.87
2197;45;Mensal;9;2;103.61
2676;40;Mensal;24;1;109.32
2191;54;Mensal;8;4;7.05
3217;35;Anual;7;3;139.21
2416;20;Mensal;4;2;13.67
3993;16;Trimestral;18;3;42.89
3842;45;Mensal;3;3;100.86
3681;64;Mensal;6;5;25.48
2217;18;Anual;12;5;8.31
2540;60;Mensal;12;5;49.67
3076;29;Trimestral;21;2;114.9
4236;45;Anual;8;3;62.05
2445;19;Trimestral;22;1;97.95
3386;33;Anual;22;4;86.94
4719;52;Mensal;1;5;3.33
2519;40;Mensal;4;5;148.28
2388;63;Mensal;21;3;6.21
2856;16;Trimestral;11;3;145.17
2365;61;Anual;3;2;82.48
1499;30;Mensal;13;2;144.47
2680;24;Trimestral;25;5;17.21
1510;30;Mensal;17;3;73.56
4398;64;Trimestral;22;1;25.43
1216;39;Mensal;22;4;7.65
2324;19;Anual;10;3;92.63
2155;27;Trimestral;21;3;31.17
2827;52;Mensal;12;2;88.15
4141;52;Mensal;15;4;16.85
4323;58;Mensal;21;5;49.8
4486;21;Mensal;10;3;117.24
2810;54;Mensal;14;5;65.56
3492;61;Anual;13;3;94.16
3923;39;Trimestral;5;5;97.12
2205;26;Trimestral;6;4;126.56
3214;28;Mensal;24;2;48.74
1090;49;Anual;2;4;103.09
1713;40;Trimestral;22;1;144.24
2881;22;Mensal;17;2;109.54
4602;19;Trimestral;4;4;73.48
1038;23;Trimestral;14;1;94.61
4197;35;Mensal;10;3;110.95
4522;44;Mensal;3;3;91.84
1172;60;Mensal;25;5;2.5
1652;61;Mensal;3;2;29.22
1753;25;Anual;15;3;121.57
2243;58;Anual;6;2;40.9
4709;49;Trimestral;17;3;109.73
2081;41;Mensal;12;5;55.82
2683;56;Mensal;22;4;78.28
3523;64;Trimestral;20;5;10.2
1455;18;Trimestral;24;1;27.18
1828;21;Mensal;11;3;143.58
1894;20;Trimestral;25;1;133.52
2384;20;Anual;4;1;97.84
2958;62;Mensal;26;2;68.95
4072;38;Mensal;26;3;101.36
3434;64;Trimestral;6;1;92.79
2996;24;Mensal;1;4;85.28
3395;50;Mensal;20;1;8.88
1189;35;Mensal;23;4;94.92
1504;64;Mensal;16;2;115.34
2214;57;Trimestral;15;1;149.11
2531;50;Trimestral;17;5;1.66
4440;33;Mensal;8;2;109.53
4480;32;Anual;26;4;85.77
1823;39;Anual;12;2;65.11
1928;18;Anual;27;1;19.14
1933;47;Mensal;22;3;61.36
2140;50;Mensal;21;3;53.16
1133;53;Anual;10;4;45.42
3105;28;Trimestral;27;4;109.63
4627;62;Mensal;15;3;105.11
1684;40;Mensal;9;4;88.35
3719;24;Mensal;2;2;140.8
3220;19;Anual;5;5;52.48
2852;29;Trimestral;6;5;36.57
1814;52;Mensal;7;2;98.39
2172;49;Mensal;21;5;29.82
1079;26;Trimestral;25;1;47.25
3933;56;Anual;1;2;33.69
4284;18;Mensal;23;4;10.37
1202;43;Trimestral;26;2;124.12
3811;44;Anual;7;3;38.18
2252;24;Mensal;20;4;70.95
2699;18;Trimestral;25;3;6.5
2250;40;Mensal;12;4;104.9
2682;49;Trimestral;16;5;49.58
2555;27;Trimestral;16;2;111.71
4512;57;Trimestral;11;1;61.86
4473;24;Trimestral;21;4;29.36
3094;30;Mensal;4;4;76.98
2256;55;Anual;13;3;19.58
4376;40;Trimestral;7;5;66.08
2549;20;Mensal;4;3;47.6
2166;26;Trimestral;15;3;136.79
4486;49;Trimestral;19;5;9.14
4584;39;Mensal;9;1;104.1
2396;30;Anual;11;3;27.41
4637;53;Anual;8;3;47.86
4957;23;Mensal;1;4;62.33
4330;20;Anual;23;5;136.2
3703;63;Mensal;25;2;36.39
1470;41;Mensal;24;1;13.7
4018;33;Mensal;8;1;47.8
2035;21;Anual;13;5;15.7
2353;52;Trimestral;22;4;19.29
3783;63;Mensal;27;4;86.08
3831;28;Mensal;4;5;9.14
1967;43;Trimestral;8;4;4.64
1357;20;Mensal;3;1;107.16
4019;28;Anual;9;1;54.25
4479;32;Anual;2;2;18.81
1667;55;Trimestral;2;5;38.04
1372;60;Anual;13;3;96.31
2031;47;Mensal;15;3;41.33
2145;44;Anual;23;2;74.18
2371;18;Trimestral;12;2;18.25
3723;55;Trimestral;26;4;88.21
1089;49;Mensal;4;2;47.41
4719;55;Anual;26;2;94.05
3745;42;Mensal;8;3;121.26
4387;28;Mensal;9;4;91.75
4249;60;Mensal;23;2;44.36
1539;48;Trimestral;5;2;38.36
3779;21;Trimestral;24;4;49.11
1868;39;Trimestral;20;5;24.69
1040;34;Anual;18;4;27.18
1739;31;Mensal;11;3;118.6
4775;55;Trimestral;15;5;57.71
2946;43;Mensal;22;1;65.4
3549;48;Anual;9;4;89.11
4006;63;Anual;17;3;88.45
4216;56;Trimestral;27;5;10.11
2224;28;Trimestral;26;4;124.73
1928;58;Mensal;12;2;26.6
3036;60;Mensal;7;4;108.46
4795;40;Anual;10;1;115.9
3508;57;Mensal;25;4;107.23
3779;51;Mensal;26;5;86.85
3799;42;Mensal;25;5;2.19
1924;53;Anual;10;4;54.06
3956;22;Mensal;27;5;90.73
2581;20;Mensal;13;2;58.12
4618;58;Trimestral;19;4;129.52
4324;60;Anual;11;2;46.32
1389;46;Mensal;13;2;44.03
2617;38;Mensal;21;3;39.9
3930;57;Mensal;8;4;49.92
1255;25;Mensal;8;5;83.61
1708;47;Mensal;4;2;106.05
2838;58;Trimestral;15;3;99.39
2944;45;Trimestral;11;4;121.16
3497;54;Trimestral;11;4;132.89
1009;46;Mensal;1;1;122.41
3871;33;Anual;17;1;2.84
1797;51;Mensal;15;2;110.39
4313;17;Anual;20;1;31.26
